Year,State,County,HAI,Operative_Procedure,Facility_ID,Facility_Name,Hospital_Category_RiskAdjustment,Facility_Type,Procedure_Count,Infections_Reported,Infections_Predicted,SIR,SIR_CI_95_Lower_Limit,SIR_CI_95_Upper_Limit,Comparison,Met_2020_Goal,SIR_2015,Notes
2022,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Rectal surgery,,,,,6314,35,110.63,0.32,0.22,0.44,Better,Yes,1.12,
2022,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Small bowel surgery,,,,,25387,420,520.6,0.81,0.73,0.89,Better,No,1.03,
2022,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Spinal fusion,,,,,40215,326,327.91,0.99,0.89,1.11,Same,No,0.87,
2022,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Spleen surgery,,,,,1761,12,10.95,1.1,0.59,1.86,Same,No,1.11,
2022,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Thoracic surgery,,,,,20897,60,83.03,0.72,0.56,0.92,Better,No,0.75,
2022,California,Sacramento,Surgical Site Infections (SSI),All procedures,030000037,Methodist Hospital Of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",1512,7,6.19,1.13,0.49,2.24,Same,No,,
2022,California,Sacramento,Surgical Site Infections (SSI),Appendix surgery,030000037,Methodist Hospital Of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",81,1,0.17,,,,,,0,
2022,California,Sacramento,Surgical Site Infections (SSI),"Bile duct, liver or pancreatic surgery",030000037,Methodist Hospital Of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",3,0,0.03,,,,,,,
2022,California,Sacramento,Surgical Site Infections (SSI),Cesarean section,030000037,Methodist Hospital Of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",387,0,0.38,0,0,9.71,Same,Yes,0,¥ See Data Dictionary
2022,California,Sacramento,Surgical Site Infections (SSI),Colon surgery,030000037,Methodist Hospital Of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",30,1,0.62,1.61,0.04,8.97,Same,No,1.11,¥ See Data Dictionary
2022,California,Sacramento,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),030000037,Methodist Hospital Of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",55,0,0.21,0,0,18,Same,Yes,0,¥ See Data Dictionary
2022,California,Sacramento,Surgical Site Infections (SSI),Gallbladder surgery,030000037,Methodist Hospital Of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",110,0,0.22,0,0,17,Same,Yes,0,¥ See Data Dictionary
2022,California,Sacramento,Surgical Site Infections (SSI),Gastric surgery,030000037,Methodist Hospital Of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",145,0,0.58,0,0,6.37,Same,Yes,0,¥ See Data Dictionary
2022,California,Sacramento,Surgical Site Infections (SSI),Hip prosthesis,030000037,Methodist Hospital Of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",134,2,0.78,2.58,0.31,9.32,Same,No,1.18,¥ See Data Dictionary
2022,California,Sacramento,Surgical Site Infections (SSI),"Hysterectomy, abdominal",030000037,Methodist Hospital Of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",53,0,0.33,0,0,11.15,Same,Yes,0,¥ See Data Dictionary
2022,California,Sacramento,Surgical Site Infections (SSI),"Hysterectomy, vaginal",030000037,Methodist Hospital Of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",13,0,0.06,,,,,,0,
2022,California,Sacramento,Surgical Site Infections (SSI),Kidney surgery,030000037,Methodist Hospital Of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",8,0,0.03,,,,,,,
2022,California,Sacramento,Surgical Site Infections (SSI),Knee prosthesis,030000037,Methodist Hospital Of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",218,3,0.88,3.39,0.7,9.92,Same,No,0,¥ See Data Dictionary
2022,California,Sacramento,Surgical Site Infections (SSI),Open reduction of fracture,030000037,Methodist Hospital Of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",109,0,0.56,0,0,6.6,Same,Yes,0,¥ See Data Dictionary
2022,California,Sacramento,Surgical Site Infections (SSI),Ovarian surgery,030000037,Methodist Hospital Of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",25,0,0.02,,,,,,,
2022,California,Sacramento,Surgical Site Infections (SSI),Rectal surgery,030000037,Methodist Hospital Of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",3,0,0.03,,,,,,,
2022,California,Sacramento,Surgical Site Infections (SSI),Small bowel surgery,030000037,Methodist Hospital Of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",55,0,1.15,0,0,2.61,Same,Yes,0,
2022,California,Sacramento,Surgical Site Infections (SSI),Spleen surgery,030000037,Methodist Hospital Of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",1,0,0,,,,,,,
2022,California,Sacramento,Surgical Site Infections (SSI),Thoracic surgery,030000037,Methodist Hospital Of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",82,0,0.17,,,,,,,
2022,California,Amador,Surgical Site Infections (SSI),All procedures,030000108,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",293,0,1.3,0,0,2.3,Same,Yes,,
2022,California,Amador,Surgical Site Infections (SSI),Appendix surgery,030000108,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",29,0,0.08,,,,,,,
2022,California,Amador,Surgical Site Infections (SSI),Cesarean section,030000108,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",73,0,0.07,,,,,,,
2022,California,Amador,Surgical Site Infections (SSI),Colon surgery,030000108,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",17,0,0.3,0,0,12.22,Same,Yes,0,¥ See Data Dictionary
2022,California,Amador,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),030000108,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",27,0,0.16,,,,,,0,
2022,California,Amador,Surgical Site Infections (SSI),Gallbladder surgery,030000108,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",16,0,0.08,,,,,,,
2022,California,Amador,Surgical Site Infections (SSI),Gastric surgery,030000108,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",3,0,0.03,,,,,,,
2022,California,Amador,Surgical Site Infections (SSI),Hip prosthesis,030000108,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",53,0,0.21,0,0,17.57,Same,Yes,0,¥ See Data Dictionary
2022,California,Amador,Surgical Site Infections (SSI),Knee prosthesis,030000108,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",24,0,0.04,,,,,,,
2022,California,Amador,Surgical Site Infections (SSI),Open reduction of fracture,030000108,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",31,0,0.12,,,,,,5.7,
2022,California,Amador,Surgical Site Infections (SSI),Ovarian surgery,030000108,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",6,0,0.01,,,,,,,
2022,California,Amador,Surgical Site Infections (SSI),Rectal surgery,030000108,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",5,0,0.06,,,,,,,
2022,California,Amador,Surgical Site Infections (SSI),Small bowel surgery,030000108,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",7,0,0.13,,,,,,1.18,
2022,California,Amador,Surgical Site Infections (SSI),Thoracic surgery,030000108,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",2,0,0,,,,,,,
2022,California,Placer,Surgical Site Infections (SSI),All procedures,030000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",885,1,4.4,0.23,0.01,1.12,Same,Yes,,
2022,California,Placer,Surgical Site Infections (SSI),Appendix surgery,030000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",62,0,0.16,,,,,,,
2022,California,Placer,Surgical Site Infections (SSI),"Bile duct, liver or pancreatic surgery",030000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",3,0,0.02,,,,,,,
2022,California,Placer,Surgical Site Infections (SSI),Colon surgery,030000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",62,0,0.93,0,0,3.98,Same,Yes,2.67,¥ See Data Dictionary
2022,California,Placer,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),030000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",46,0,0.16,,,,,,0,
2022,California,Placer,Surgical Site Infections (SSI),Gallbladder surgery,030000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",87,0,0.25,0,0,14.94,Same,Yes,0,¥ See Data Dictionary
2022,California,Placer,Surgical Site Infections (SSI),Gastric surgery,030000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",19,0,0.2,,,,,,0,
2022,California,Placer,Surgical Site Infections (SSI),Hip prosthesis,030000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",193,1,0.97,1.03,0.03,5.73,Same,No,4.26,¥ See Data Dictionary
2022,California,Placer,Surgical Site Infections (SSI),"Hysterectomy, abdominal",030000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",9,0,0.05,,,,,,,
2022,California,Placer,Surgical Site Infections (SSI),"Hysterectomy, vaginal",030000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",2,0,0.01,,,,,,,
2022,California,Placer,Surgical Site Infections (SSI),Kidney surgery,030000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",5,0,0.02,,,,,,,
2022,California,Placer,Surgical Site Infections (SSI),Knee prosthesis,030000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",274,0,0.64,0,0,5.74,Same,Yes,5.04,¥ See Data Dictionary
2022,California,Placer,Surgical Site Infections (SSI),Laminectomy,030000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",1,0,0,,,,,,,
2022,California,Placer,Surgical Site Infections (SSI),Open reduction of fracture,030000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",69,0,0.34,0,0,11.01,Same,Yes,0,¥ See Data Dictionary
2022,California,Placer,Surgical Site Infections (SSI),Ovarian surgery,030000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",2,0,0,,,,,,,
2022,California,Placer,Surgical Site Infections (SSI),Rectal surgery,030000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",8,0,0.15,,,,,,,
2022,California,Placer,Surgical Site Infections (SSI),Small bowel surgery,030000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",27,0,0.48,0,0,7.75,Same,Yes,0,¥ See Data Dictionary
2022,California,Placer,Surgical Site Infections (SSI),Spleen surgery,030000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",1,0,0,,,,,,,
2022,California,Placer,Surgical Site Infections (SSI),Thoracic surgery,030000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",15,0,0.03,,,,,,,
2022,California,Sacramento,Surgical Site Infections (SSI),Abdominal aortic aneurysm repair,030000113,University Of California Davis Medical Center,Acute Care Hospital,Major Teaching,4,0,0.03,,,,,,,
2022,California,Sacramento,Surgical Site Infections (SSI),All procedures,030000113,University Of California Davis Medical Center,Acute Care Hospital,Major Teaching,7146,81,87.7,0.92,0.74,1.14,Same,No,,
2022,California,Sacramento,Surgical Site Infections (SSI),Appendix surgery,030000113,University Of California Davis Medical Center,Acute Care Hospital,Major Teaching,99,1,0.9,1.12,0.03,6.21,Same,No,0,¥ See Data Dictionary
2022,California,Sacramento,Surgical Site Infections (SSI),"Bile duct, liver or pancreatic surgery",030000113,University Of California Davis Medical Center,Acute Care Hospital,Major Teaching,137,4,4.24,0.94,0.3,2.28,Same,No,0.86,
2022,California,Sacramento,Surgical Site Infections (SSI),Cardiac surgery,030000113,University Of California Davis Medical Center,Acute Care Hospital,Major Teaching,158,1,0.94,1.06,0.03,5.91,Same,No,1.03,¥ See Data Dictionary
2022,California,Sacramento,Surgical Site Infections (SSI),Cesarean section,030000113,University Of California Davis Medical Center,Acute Care Hospital,Major Teaching,689,1,5.11,0.2,0.01,0.97,Better,Yes,0,
2022,California,Sacramento,Surgical Site Infections (SSI),Colon surgery,030000113,University Of California Davis Medical Center,Acute Care Hospital,Major Teaching,260,11,12.82,0.86,0.45,1.49,Same,No,0.74,
2022,California,Sacramento,Surgical Site Infections (SSI),"Coronary bypass,chest and donor incisions",030000113,University Of California Davis Medical Center,Acute Care Hospital,Major Teaching,72,0,0.92,0,0,4.02,Same,Yes,,¥ See Data Dictionary
2022,California,Sacramento,Surgical Site Infections (SSI),"Coronary bypass,chest incision only",030000113,University Of California Davis Medical Center,Acute Care Hospital,Major Teaching,19,1,0.19,,,,,,,
2022,California,Sacramento,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),030000113,University Of California Davis Medical Center,Acute Care Hospital,Major Teaching,649,13,7.06,1.84,1.03,3.07,Worse,No,0.76,
2022,California,Sacramento,Surgical Site Infections (SSI),Gallbladder surgery,030000113,University Of California Davis Medical Center,Acute Care Hospital,Major Teaching,225,3,1.78,1.68,0.43,4.58,Same,No,0.76,
2022,California,Sacramento,Surgical Site Infections (SSI),Gastric surgery,030000113,University Of California Davis Medical Center,Acute Care Hospital,Major Teaching,167,3,2.74,1.1,0.28,2.99,Same,No,0.76,
2022,California,Sacramento,Surgical Site Infections (SSI),Hip prosthesis,030000113,University Of California Davis Medical Center,Acute Care Hospital,Major Teaching,419,1,4.73,0.21,0.01,1.04,Same,Yes,0.34,
2022,California,Sacramento,Surgical Site Infections (SSI),"Hysterectomy, abdominal",030000113,University Of California Davis Medical Center,Acute Care Hospital,Major Teaching,212,4,3.3,1.21,0.39,2.93,Same,No,1.86,
2022,California,Sacramento,Surgical Site Infections (SSI),"Hysterectomy, vaginal",030000113,University Of California Davis Medical Center,Acute Care Hospital,Major Teaching,7,0,0.05,,,,,,0,
2022,California,Sacramento,Surgical Site Infections (SSI),Kidney surgery,030000113,University Of California Davis Medical Center,Acute Care Hospital,Major Teaching,362,0,1.2,0,0,2.51,Same,Yes,2.15,
2022,California,Sacramento,Surgical Site Infections (SSI),Kidney transplant,030000113,University Of California Davis Medical Center,Acute Care Hospital,Major Teaching,239,1,1.65,0.61,0.03,2.99,Same,Yes,0.52,
2022,California,Sacramento,Surgical Site Infections (SSI),Knee prosthesis,030000113,University Of California Davis Medical Center,Acute Care Hospital,Major Teaching,297,1,1.86,0.54,0.03,2.65,Same,Yes,0,
2022,California,Sacramento,Surgical Site Infections (SSI),Laminectomy,030000113,University Of California Davis Medical Center,Acute Care Hospital,Major Teaching,577,1,2.61,0.38,0.02,1.89,Same,Yes,1.17,
2022,California,Sacramento,Surgical Site Infections (SSI),Open reduction of fracture,030000113,University Of California Davis Medical Center,Acute Care Hospital,Major Teaching,751,5,11.72,0.43,0.16,0.95,Better,Yes,0.34,
2022,California,Sacramento,Surgical Site Infections (SSI),Ovarian surgery,030000113,University Of California Davis Medical Center,Acute Care Hospital,Major Teaching,300,0,0.23,0,0,16.18,Same,Yes,,¥ See Data Dictionary
2022,California,Sacramento,Surgical Site Infections (SSI),Pacemaker surgery,030000113,University Of California Davis Medical Center,Acute Care Hospital,Major Teaching,14,0,0.03,,,,,,,
2022,California,Sacramento,Surgical Site Infections (SSI),Rectal surgery,030000113,University Of California Davis Medical Center,Acute Care Hospital,Major Teaching,48,0,1.36,0,0,2.21,Same,Yes,0,
2022,California,Sacramento,Surgical Site Infections (SSI),Small bowel surgery,030000113,University Of California Davis Medical Center,Acute Care Hospital,Major Teaching,320,7,7.01,1,0.44,1.98,Same,No,1.21,
2022,California,Sacramento,Surgical Site Infections (SSI),Spinal fusion,030000113,University Of California Davis Medical Center,Acute Care Hospital,Major Teaching,747,20,12.89,1.55,0.97,2.35,Same,No,0.7,
2022,California,Sacramento,Surgical Site Infections (SSI),Spleen surgery,030000113,University Of California Davis Medical Center,Acute Care Hospital,Major Teaching,34,0,0.28,0,0,13.08,Same,Yes,2,¥ See Data Dictionary
2022,California,Sacramento,Surgical Site Infections (SSI),Thoracic surgery,030000113,University Of California Davis Medical Center,Acute Care Hospital,Major Teaching,340,3,2.08,1.44,0.37,3.93,Same,No,0.77,
2022,California,El Dorado,Surgical Site Infections (SSI),All procedures,030000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",689,3,3.65,0.82,0.21,2.24,Same,No,,
2022,California,El Dorado,Surgical Site Infections (SSI),Appendix surgery,030000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",37,0,0.11,,,,,,,
2022,California,El Dorado,Surgical Site Infections (SSI),Cesarean section,030000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",71,0,0.08,,,,,,,
2022,California,El Dorado,Surgical Site Infections (SSI),Colon surgery,030000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",39,0,0.77,0,0,4.82,Same,Yes,0,¥ See Data Dictionary
2022,California,El Dorado,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),030000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",23,0,0.16,,,,,,,
2022,California,El Dorado,Surgical Site Infections (SSI),Gallbladder surgery,030000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",28,0,0.05,,,,,,,
2022,California,El Dorado,Surgical Site Infections (SSI),Gastric surgery,030000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",8,0,0.1,,,,,,,
2022,California,El Dorado,Surgical Site Infections (SSI),Hip prosthesis,030000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",95,0,0.41,0,0,8.93,Same,Yes,0,¥ See Data Dictionary
2022,California,El Dorado,Surgical Site Infections (SSI),"Hysterectomy, abdominal",030000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",27,1,0.19,,,,,,,
2022,California,El Dorado,Surgical Site Infections (SSI),Knee prosthesis,030000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",83,1,0.23,4.29,0.11,23.91,Same,No,0,¥ See Data Dictionary
2022,California,El Dorado,Surgical Site Infections (SSI),Laminectomy,030000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",18,0,0.05,,,,,,,
2022,California,El Dorado,Surgical Site Infections (SSI),Open reduction of fracture,030000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",108,0,0.71,0,0,5.23,Same,Yes,,¥ See Data Dictionary
2022,California,El Dorado,Surgical Site Infections (SSI),Ovarian surgery,030000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",6,0,0,,,,,,,
2022,California,El Dorado,Surgical Site Infections (SSI),Small bowel surgery,030000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",21,1,0.39,2.54,0.06,14.14,Same,No,,¥ See Data Dictionary
2022,California,El Dorado,Surgical Site Infections (SSI),Spinal fusion,030000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",120,0,0.39,0,0,9.43,Same,Yes,0,¥ See Data Dictionary
2022,California,El Dorado,Surgical Site Infections (SSI),Thoracic surgery,030000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",5,0,0.01,,,,,,,
2022,California,San Joaquin,Surgical Site Infections (SSI),All procedures,030000117,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",643,7,4.32,1.62,0.71,3.21,Same,No,,
2022,California,San Joaquin,Surgical Site Infections (SSI),Appendix surgery,030000117,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",37,1,0.08,,,,,,0,
2022,California,San Joaquin,Surgical Site Infections (SSI),"Bile duct, liver or pancreatic surgery",030000117,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",7,0,0.05,,,,,,,
2022,California,San Joaquin,Surgical Site Infections (SSI),Cardiac surgery,030000117,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",22,0,0.06,,,,,,,
2022,California,San Joaquin,Surgical Site Infections (SSI),Colon surgery,030000117,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",54,3,1.28,2.35,0.6,6.4,Same,No,0,
2022,California,San Joaquin,Surgical Site Infections (SSI),"Coronary bypass,chest and donor incisions",030000117,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",42,0,0.25,0,0,14.94,Same,Yes,,¥ See Data Dictionary
2022,California,San Joaquin,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),030000117,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",56,0,0.31,0,0,11.82,Same,Yes,0,¥ See Data Dictionary
2022,California,San Joaquin,Surgical Site Infections (SSI),Gallbladder surgery,030000117,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",79,0,0.18,,,,,,0,
2022,California,San Joaquin,Surgical Site Infections (SSI),Gastric surgery,030000117,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",57,2,0.22,9.22,1.12,33.29,Worse,No,1.12,¥ See Data Dictionary
2022,California,San Joaquin,Surgical Site Infections (SSI),Hip prosthesis,030000117,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",35,0,0.26,0,0,14.13,Same,Yes,3.96,¥ See Data Dictionary
2022,California,San Joaquin,Surgical Site Infections (SSI),"Hysterectomy, vaginal",030000117,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",1,0,0,,,,,,,
2022,California,San Joaquin,Surgical Site Infections (SSI),Knee prosthesis,030000117,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",42,0,0.27,0,0,13.92,Same,Yes,0.65,¥ See Data Dictionary
2022,California,San Joaquin,Surgical Site Infections (SSI),Laminectomy,030000117,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",26,0,0.09,,,,,,0,
2022,California,San Joaquin,Surgical Site Infections (SSI),Open reduction of fracture,030000117,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",42,1,0.23,4.29,0.11,23.91,Same,No,0,¥ See Data Dictionary
2022,California,San Joaquin,Surgical Site Infections (SSI),Ovarian surgery,030000117,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",1,0,0,,,,,,,
2022,California,San Joaquin,Surgical Site Infections (SSI),Pacemaker surgery,030000117,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",57,0,0.1,,,,,,0,
2022,California,San Joaquin,Surgical Site Infections (SSI),Small bowel surgery,030000117,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",34,0,0.72,0,0,5.13,Same,Yes,1.82,¥ See Data Dictionary
2022,California,San Joaquin,Surgical Site Infections (SSI),Spinal fusion,030000117,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",28,0,0.18,,,,,,0,
2022,California,San Joaquin,Surgical Site Infections (SSI),Spleen surgery,030000117,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",2,0,0.01,,,,,,,
2022,California,San Joaquin,Surgical Site Infections (SSI),Thoracic surgery,030000117,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",21,0,0.04,,,,,,,
